,STATES,YEAR,MATH,FIPST,REFORM
387,Virginia,2007,244,51,0
388,Virginia,2009,243,51,0
389,Virginia,2011,245,51,0
390,Virginia,2013,246,51,0
391,Washington,1996,225,53,1
392,Washington,2003,238,53,1
393,Washington,2005,242,53,1
394,Washington,2007,243,53,1
395,Washington,2009,242,53,1
396,Washington,2011,243,53,1
397,Washington,2013,246,53,1
398,West Virginia,1992,215,54,1
399,West Virginia,1996,223,54,1
400,West Virginia,2000,225,54,1
401,West Virginia,2003,231,54,1
402,West Virginia,2005,231,54,1
403,West Virginia,2007,236,54,1
404,West Virginia,2009,233,54,1
405,West Virginia,2011,235,54,1
406,West Virginia,2013,237,54,1
407,Wisconsin,1992,229,55,0
408,Wisconsin,1996,231,55,0
409,Wisconsin,2003,237,55,0
410,Wisconsin,2005,241,55,0
411,Wisconsin,2007,244,55,0
412,Wisconsin,2009,244,55,0
413,Wisconsin,2011,245,55,0
414,Wisconsin,2013,245,55,0
415,Wyoming,1992,225,56,1
416,Wyoming,1996,223,56,1
417,Wyoming,2000,229,56,1
418,Wyoming,2003,241,56,1
419,Wyoming,2005,243,56,1
420,Wyoming,2007,244,56,1
421,Wyoming,2009,242,56,1
422,Wyoming,2011,244,56,1
423,Wyoming,2013,247,56,1
