,STATES,YEAR,READING,FIPST,REFORM
391,Texas,2003,215,48,1
392,Texas,2005,219,48,1
393,Texas,2007,220,48,1
394,Texas,2009,219,48,1
395,Texas,2011,218,48,1
396,Texas,2013,217,48,1
397,Utah,1992,220,49,0
398,Utah,1994,217,49,0
399,Utah,1998,215,49,0
400,Utah,2002,222,49,0
401,Utah,2003,219,49,0
402,Utah,2005,221,49,0
403,Utah,2007,221,49,0
404,Utah,2009,219,49,0
405,Utah,2011,220,49,0
406,Utah,2013,223,49,0
407,Vermont,2002,227,50,1
408,Vermont,2003,226,50,1
409,Vermont,2005,227,50,1
410,Vermont,2007,228,50,1
411,Vermont,2009,229,50,1
412,Vermont,2011,227,50,1
413,Vermont,2013,228,50,1
414,Virginia,1992,221,51,0
415,Virginia,1994,213,51,0
416,Virginia,1998,218,51,0
417,Virginia,2002,225,51,0
418,Virginia,2003,223,51,0
419,Virginia,2005,226,51,0
420,Virginia,2007,227,51,0
421,Virginia,2009,227,51,0
422,Virginia,2011,226,51,0
423,Virginia,2013,229,51,0
424,Washington,1994,213,53,1
425,Washington,1998,217,53,1
426,Washington,2002,224,53,1
427,Washington,2003,221,53,1
428,Washington,2005,223,53,1
429,Washington,2007,224,53,1
430,Washington,2009,221,53,1
431,Washington,2011,221,53,1
432,Washington,2013,225,53,1
433,West Virginia,1992,216,54,1
434,West Virginia,1994,213,54,1
435,West Virginia,1998,216,54,1
436,West Virginia,2002,219,54,1
437,West Virginia,2003,219,54,1
438,West Virginia,2005,215,54,1
439,West Virginia,2007,215,54,1
440,West Virginia,2009,215,54,1
441,West Virginia,2011,214,54,1
442,West Virginia,2013,215,54,1
443,Wisconsin,1992,224,55,0
444,Wisconsin,1994,224,55,0
445,Wisconsin,1998,224,55,0
446,Wisconsin,2003,221,55,0
447,Wisconsin,2005,221,55,0
448,Wisconsin,2007,223,55,0
449,Wisconsin,2009,220,55,0
450,Wisconsin,2011,221,55,0
451,Wisconsin,2013,221,55,0
452,Wyoming,1992,223,56,1
453,Wyoming,1994,221,56,1
454,Wyoming,1998,219,56,1
455,Wyoming,2002,221,56,1
456,Wyoming,2003,222,56,1
457,Wyoming,2005,223,56,1
458,Wyoming,2007,225,56,1
459,Wyoming,2009,223,56,1
460,Wyoming,2011,224,56,1
461,Wyoming,2013,226,56,1
